StudnetID,Degree Level,School,Major Group,Gender Identity,Ethnicity,Domestic or International Status,Outcome,Have Info?,Placement Status,Employer,Industry,Full-time or Part-time,Position Type,Job Title,Job Level,Promotion or Return Offer from an Internship,Total post-graduation job offers,Employment Timing,Annual Salary Amount,Used Wasserman Services,Continuing Education School Name,Continuing Education Degree,Continuning Education Field,City,State,Country
LBTS_2023_9332,Bachelors,Tandon School of Engineering,Humanities,Man,Asian/Pacific Islander,Domestic,Working,Yes,Placed,Arkenzo Interactive,Other,Full-time (30+ hours/week),Internship,3D Generalist Intern,Mid-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_4129,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Man,Hispanic,Domestic,Working,Yes,Placed,Success Academy,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",4th Grade Integrated Co-Teacher,Mid-level,Not applicable,1,Within 3 months of graduation,55000,Yes,,,,New York,New York,United States of America
LBTS_2023_180,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Black,Domestic,Working,Yes,Placed,Zeta Charter Schools,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",5th Grade Teacher,Mid-level,Not applicable,,,,No,,,,New York,New York,United States of America
LBTS_2023_8963,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Not Available,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",6th Grade Special Education for English Language Arts,,Return offer from an internship,4 or more,,70000,No,,,,New York,New York,United States of America
LBTS_2023_8193,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Not Available,Domestic,Working,Yes,Placed,Center City Public Charter School,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",7th and 8th Grade Humanities,Mid-level,Promotion from a previously held role,1,Before graduation,67000,Yes,,,,"Washington, D.C.",,United States of America
LBTS_2023_548,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Native Hawaiian/Oth Pac Island,Domestic,Working,Yes,Placed,Bronx Charter School for Excellence,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",7th Grade Science Teacher,Entry-level,Return offer from an internship,1,Before graduation,72000,No,,,,New York,New York,United States of America
LBTS_2023_2959,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Christina School District,Education/Teaching,Full-time (30+ hours/week),Faculty tenure track position,7th Grade Science Teacher,Entry-level,Not applicable,1,Before graduation,56000,No,,,,Newark,Delaware,United States of America
LBTS_2023_7960,Masters,"Steinhardt School of Culture, Education, and Human Development",Clinical Health and Public Health,Woman,White,Domestic,Working,Yes,Placed,North Babylon School District,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",8th Grade Counselor,Mid-level,Not applicable,,,,No,,,,North Babylon,New York,United States of America
LBTS_2023_1296,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Black,Domestic,Working,Yes,Placed,Great Oaks NYC,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",8th Grade ELA Teacher,Mid-level,Not applicable,2,Before graduation,68000,No,,,,New York,New York,United States of America
LBTS_2023_5322,Masters,"Steinhardt School of Culture, Education, and Human Development",Business,Woman,White,Domestic,Working,Yes,Placed,GigFinesse,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R,Mid-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_2468,Bachelors,Gallatin School of Individualized Study,Other/ Create your own major,Man,White,Domestic,Working,Yes,Placed,Simple Stupid Records,Entertainment/Media,,"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R Administration,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_14260,Bachelors,Gallatin School of Individualized Study,Other/ Create your own major,Man,White,Domestic,Working,Yes,Placed,Universal Music Publishing Group,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R Assistant,Entry-level,Return offer from an internship,None – I was not seeking any job offers,Before graduation,60000,Yes,,,,New York,New York,United States of America
LBTS_2023_4383,Bachelors,Tisch School of the Arts,Humanities,Man,White,Domestic,Working,Yes,Placed,Universal Music Publishing Group,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R Consultant,Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_6921,Bachelors,Gallatin School of Individualized Study,Other/ Create your own major,Woman,White,Domestic,Working,Yes,Placed,Domino Recording Company,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R Coordinator,Entry-level,Not applicable,,,,No,,,,New York,New York,United States of America
LBTS_2023_15642,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Man,White,Domestic,Working and In School,Yes,Placed,Republic Records,Entertainment/Media,Part-time (fewer than 30 hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A&R Scout,Entry-level,Not applicable,,,,Yes,NYU,Masters,Other,New York,New York,United States of America
LBTS_2023_4316,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Man,Hispanic,Domestic,Working,Yes,Placed,Lamama Experimental Theatre,"Arts (Theater, Performing Arts)",Part-time (fewer than 30 hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",A1 Audio Engineer,Entry-level,Not applicable,1,Within 3 months of graduation,,Yes,,,,New York,New York,United States of America
LBTS_2023_10598,Masters,Silver School of Social Work,Social Sciences/ Social Work,Woman,Hispanic,Domestic,Working,Yes,Placed,Children's Circle,Non-Profit/Social Services,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",ABA Therapist,Entry-level,Not applicable,2,Before graduation,100000,Yes,,,,New York,New York,United States of America
LBTS_2023_8271,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Asian/Pacific Islander,Domestic,Working,Yes,Placed,Cold Spring School,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Administrator,Mid-level,Promotion from a previously held role,,,,No,,,,New Haven,New Jersey,United States of America
LBTS_2023_8588,Masters,Silver School of Social Work,Social Sciences/ Social Work,Woman,Black,Domestic,Working,Yes,Placed,South College,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,Entry-level,Not applicable,1,Between 3 and 6 months after graduation,53000,No,,,,Atlanta,Georgia,United States of America
LBTS_2023_11775,Masters,School of Professional Studies,Business,Woman,Hispanic,Domestic,Working,Yes,Placed,Medgar Evers College of The City University of New York,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,Mid-level,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_9356,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Black,Domestic,Working,Yes,Placed,NYU Rory Meyers College of Nursing,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,Mid-level,Not applicable,1,Within 3 months of graduation,64000,Yes,,,,New York,New York,United States of America
LBTS_2023_6404,Masters,School of Global Public Health,Sciences,Woman,White,Domestic,Working,Yes,Placed,NYU School of Global Liberal Studies,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,Mid-level,Promotion from a previously held role,2,Within 3 months of graduation,67500,Yes,,,,New York,New York,United States of America
LBTS_2023_7496,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Hispanic,Domestic,Working,Yes,Placed,NYU,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_9697,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,Hispanic,Domestic,Working,Yes,Placed,NYU,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_3339,Bachelors,School of Professional Studies,Social Sciences/ Social Work,Woman,Black,International,Working,Yes,Placed,Point University,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Advisor,Mid-level,Promotion from a previously held role,2,Before graduation,40000,Yes,,,,West Point,Georgia,United States of America
LBTS_2023_5970,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Unity Preparatory Charter School of Brooklyn,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Counselor,Mid-level,Not applicable,1,Within 3 months of graduation,70000,Yes,,,,New York,New York,United States of America
LBTS_2023_5971,Advanced Certificate,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Unity Preparatory Charter School of Brooklyn,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Counselor,Mid-level,Not applicable,1,Within 3 months of graduation,70000,Yes,,,,New York,New York,United States of America
LBTS_2023_5638,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,McKendree University,Education/Teaching,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Resource Coordinator,Entry-level,Not applicable,,,,No,,,,Lebanon,Illinois,United States of America
LBTS_2023_12827,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Florida Department of Corrections,Government/Military,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Teacher,Mid-level,Not applicable,,,,No,,,,North Fort Myers,Florida,United States of America
LBTS_2023_1914,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Man,White,Domestic,Working,Yes,Placed,Ivy Tutors Network,Education/Teaching,Part-time (fewer than 30 hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academic Tutor,Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_5178,Bachelors,Leonard N. Stern School of Business,Business,Man,Hispanic,Domestic,Working,Yes,Placed,Point72,Financial Services/Banking,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Academy Associate,Entry-level,Return offer from an internship,1,,125000,Yes,,,,New York,New York,United States of America
LBTS_2023_9523,Masters,"Steinhardt School of Culture, Education, and Human Development",Education,Woman,White,Domestic,Working,Yes,Placed,Buck's Rock Performing and Creative Arts Camp,"Arts (Theater, Performing Arts)",Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Access and Accommodations Manager,Mid-level,Not applicable,,,,No,,,,New York,New York,United States of America
LBTS_2023_10858,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Man,White,Domestic,Working,Yes,Placed,Honeoye Falls-Lima Senior High School,"Arts (Theater, Performing Arts)",Part-time (fewer than 30 hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Accompanist,Entry-level,Not applicable,,,,Yes,,,,Honeoye Falls,New York,United States of America
LBTS_2023_14658,Bachelors,Leonard N. Stern School of Business,Business,Man,Hispanic,Domestic,Working,Yes,Placed,PIMCO,Financial Services/Banking,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Analyst,Entry-level,Not applicable,1,,,Yes,,,,New York,New York,United States of America
LBTS_2023_8387,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,Asian/Pacific Islander,Domestic,Working,Yes,Placed,PR Consulting,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Assistant,Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_143,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,International,International,Working,Yes,Placed,Apartnership,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Not applicable,1,Before graduation,45000,Yes,,,,New York,New York,United States of America
LBTS_2023_5132,Masters,School of Professional Studies,Humanities,Man,White,Domestic,Working,Yes,Placed,KLG Public Relations,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Return offer from an internship,1,Before graduation,48000,Yes,,,,New York,New York,United States of America
LBTS_2023_6287,Masters,"Steinhardt School of Culture, Education, and Human Development",Business,Woman,White,Domestic,Working,Yes,Placed,Warner Music Group,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Return offer from an internship,None – I was not seeking any job offers,Before graduation,58500,Yes,,,,New York,New York,United States of America
LBTS_2023_16448,Masters,School of Professional Studies,Humanities,Woman,Asian/Pacific Islander,International,Working,Yes,Placed,The Hinton Group,Fashion/Retail/Consumer Products,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Return offer from an internship,3,Within 3 months of graduation,50000,Yes,,,,New York,New York,United States of America
LBTS_2023_6107,Bachelors,School of Professional Studies,Business,Man,White,Domestic,Working,Yes,Placed,R. Couri Hay,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Mid-level,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_7334,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,Hispanic,Domestic,Working,Yes,Placed,Fortyseven Communications,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Return offer from an internship,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_8701,Bachelors,Leonard N. Stern School of Business,Business,Woman,Hispanic,Domestic,Working,Yes,Placed,Foursquare,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Not applicable,2,Within 3 months of graduation,,Yes,,,,New York,New York,United States of America
LBTS_2023_12478,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,White,Domestic,Working,Yes,Placed,Horizon Sports & Experiences,Hospitality/Tourism/Sports & Recreation,,"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_16082,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,International,International,Working,Yes,Placed,APartnership,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_16358,Bachelors,College of Arts and Science,Humanities,Woman,White,International,Working,Yes,Placed,BerlinRosen,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Not applicable,,,,No,,,,New York,New York,United States of America
LBTS_2023_6535,Masters,School of Professional Studies,Humanities,Woman,White,Domestic,Working,Yes,Placed,Suasion Communications Group,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Mid-level,Return offer from an internship,,,,No,,,,Somers Point,New Jersey,United States of America
LBTS_2023_419,Bachelors,College of Arts and Science,Humanities,Woman,White,Domestic,Working,Yes,Placed,Health & Wellness Partners,Health Care,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Return offer from an internship,,,,Yes,,,,Upper Saddle River,New Jersey,United States of America
LBTS_2023_12968,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,Two or More Races,Domestic,Working,Yes,Placed,Stanton & Company,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Coordinator,Entry-level,Not applicable,,,,Yes,,,,Venice,California,United States of America
LBTS_2023_10100,Masters,School of Professional Studies,Business,Man,White,Domestic,Working,Yes,Placed,PlayFly Sports,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)","Account Coordinator, Playfly Sports Consulting",Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_10234,Masters,School of Professional Studies,Business,Man,International,International,Working,Yes,Placed,Leverage Agency,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Mid-level,Promotion from a previously held role,1,Before graduation,40000,Yes,,,,New York,New York,United States of America
LBTS_2023_9588,Bachelors,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,Black,Domestic,Working,Yes,Placed,McCann,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Entry-level,Not applicable,2,Within 3 months of graduation,65000,Yes,,,,New York,New York,United States of America
LBTS_2023_3538,Masters,School of Professional Studies,Humanities,Woman,Hispanic,Domestic,Working,Yes,Placed,Hunter,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Mid-level,Not applicable,,,,No,,,,New York,New York,United States of America
LBTS_2023_11663,Masters,School of Professional Studies,Humanities,Woman,White,Domestic,Working,Yes,Placed,NEON | An IPG Health Company,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Mid-level,Return offer from an internship,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_14532,Masters,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,International,International,Working,Yes,Placed,PacerPro,Law,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Executive level (except chief executive),Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_6798,Masters,School of Professional Studies,Social Sciences/ Social Work,Woman,International,International,Working,Yes,Placed,WE Red Bridge,Consulting,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive,Mid-level,Not applicable,,,,Yes,,,,Shanghai,,China
LBTS_2023_16659,Masters,Tandon School of Engineering,Computer Science / Data Science/ Engineering/ Game Design,Man,International,International,Working,Yes,Placed,VX Media,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Executive & Finance Administrator,Senior Level,Promotion from a previously held role,1,Within 3 months of graduation,,No,,,,New York,New York,United States of America
LBTS_2023_7013,Masters,School of Professional Studies,Computer Science / Data Science/ Engineering/ Game Design,Man,International,International,Working,Yes,Placed,Kaseya,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Entry-level,Not applicable,1,Within 3 months of graduation,,Yes,,,,Miami,Florida,United States of America
LBTS_2023_16184,Masters,Graduate School of Arts and Science,Humanities,Woman,White,Domestic,Working,Yes,Placed,Serendipity & Co,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Mid-level,Promotion from a previously held role,1,Before graduation,75000,No,,,,New York,New York,United States of America
LBTS_2023_12832,Masters,"Steinhardt School of Culture, Education, and Human Development",Humanities,Woman,Two or More Races,Domestic,Working,Yes,Placed,Risk Strategies Company,Insurance,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Mid-level,Promotion from a previously held role,1,Before graduation,83000,Yes,,,,New York,New York,United States of America
LBTS_2023_11088,Masters,School of Professional Studies,General Engineering/ Trades Mgmt,Woman,International,International,Working,Yes,Placed,Uber,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Entry-level,Not applicable,4 or more,Before graduation,85000,Yes,,,,New York,New York,United States of America
LBTS_2023_12720,Masters,School of Professional Studies,Social Sciences/ Social Work,Woman,International,International,Working,Yes,Placed,Tosot,Materials/Construction,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Entry-level,,1,Within 3 months of graduation,60000,Yes,,,,New York,New York,United States of America
LBTS_2023_13866,Masters,Tandon School of Engineering,Computer Science / Data Science/ Engineering/ Game Design,Man,Asian/Pacific Islander,Domestic,Working,Yes,Placed,UiPath,Computer Science/Technology,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Mid-level,Not applicable,,Before graduation,,No,,,,New York,New York,United States of America
LBTS_2023_6816,Masters,Gallatin School of Individualized Study,Other/ Create your own major,Woman,White,Domestic,Working,Yes,Placed,Hyperreal,Entertainment/Media,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Mid-level,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_6838,Masters,School of Professional Studies,Social Sciences/ Social Work,Woman,White,Domestic,Working,Yes,Placed,Adylic,Marketing/Advertising/PR,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Manager,Mid-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_10932,Bachelors,College of Arts and Science,Mathematics and Economics,Woman,Hispanic,Domestic,Working,Yes,Placed,MarketAxess,Financial Services/Banking,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Account Services Analyst,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_2957,Bachelors,College of Arts and Science,Social Sciences/ Social Work,Woman,Asian/Pacific Islander,Domestic,Working,Yes,Placed,Harris Accounting Corp.,Accounting,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Accountant,Entry-level,Not applicable,,,,Yes,,,,,California,United States of America
LBTS_2023_14897,Masters,Tandon School of Engineering,Computer Science / Data Science/ Engineering/ Game Design,Woman,Hispanic,Domestic,Working,Yes,Placed,Nike,Fashion/Retail/Consumer Products,,"Existing company/organization (for-profit, not-for-profit, government, etc.)",Accounting Administrative Assistant,,,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_989,Masters,Tandon School of Engineering,Computer Science / Data Science/ Engineering/ Game Design,Man,Asian/Pacific Islander,Domestic,Working,Yes,Placed,China Telecom Americas,Telecommunications,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Accounts Payable Accountant,,Promotion from a previously held role,,,,Yes,,,,Herndon,Virginia,United States of America
LBTS_2023_12214,Bachelors,Gallatin School of Individualized Study,Other/ Create your own major,Woman,White,Domestic,Working,Yes,Placed,Windsor Management,Real Estate,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Accounts Receivable Manager,Entry-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
LBTS_2023_1118,Masters,School of Professional Studies,Business,Man,International,International,Working,Yes,Placed,Amtrust Realty,Real Estate,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Acquisition Analyst,Entry-level,Promotion from a previously held role,4 or more,Before graduation,150000,Yes,,,,New York,New York,United States of America
LBTS_2023_10746,Masters,School of Professional Studies,Business,Man,International,International,Working,Yes,Placed,Witnick Real Estate Partners,Real Estate,Full-time (30+ hours/week),"Existing company/organization (for-profit, not-for-profit, government, etc.)",Acquisition Analyst,Mid-level,Not applicable,,,,Yes,,,,New York,New York,United States of America
